Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pag Entre,Firefox 58.0,,2018-02-05 14:09:52,2018-02-05 14:12:11,"2m - 18,931s",FAILED
,,,,,,
Test Cases/ENTRE/Login Valido,Firefox 58.0,,2018-02-05 14:09:52,2018-02-05 14:10:56,"1m - 3,479s",FAILED
openBrowser,Firefox 58.0,,2018-02-05 14:09:52,2018-02-05 14:10:01,"8,780s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-05 14:10:01,2018-02-05 14:10:07,"5,657s",PASSED
click,Firefox 58.0,,2018-02-05 14:10:07,2018-02-05 14:10:10,"3,431s",PASSED
setText,Firefox 58.0,,2018-02-05 14:10:10,2018-02-05 14:10:14,"4,149s",PASSED
setText,Firefox 58.0,,2018-02-05 14:10:15,2018-02-05 14:10:19,"4,104s",PASSED
click,Firefox 58.0,,2018-02-05 14:10:19,2018-02-05 14:10:24,"5,753s",PASSED
check,Firefox 58.0,,2018-02-05 14:10:24,2018-02-05 14:10:56,"31,353s",FAILED
,,,,,,
Test Cases/ENTRE/RecuperacaoSenha,Firefox 58.0,,2018-02-05 14:10:56,2018-02-05 14:11:33,"37,698s",PASSED
openBrowser,Firefox 58.0,,2018-02-05 14:10:56,2018-02-05 14:11:05,"8,861s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-05 14:11:05,2018-02-05 14:11:14,"8,890s",PASSED
click,Firefox 58.0,,2018-02-05 14:11:14,2018-02-05 14:11:17,"3,449s",PASSED
click,Firefox 58.0,,2018-02-05 14:11:17,2018-02-05 14:11:19,"2,267s",PASSED
delay,Firefox 58.0,,2018-02-05 14:11:19,2018-02-05 14:11:22,"3,025s",PASSED
setText,Firefox 58.0,,2018-02-05 14:11:22,2018-02-05 14:11:26,"4,118s",PASSED
click,Firefox 58.0,,2018-02-05 14:11:26,2018-02-05 14:11:29,"2,265s",PASSED
check,Firefox 58.0,,2018-02-05 14:11:29,2018-02-05 14:11:32,"3,257s",PASSED
closeBrowser,Firefox 58.0,,2018-02-05 14:11:32,2018-02-05 14:11:33,"1,413s",PASSED
,,,,,,
Test Cases/ENTRE/Meus dados - Alterar Senha,Firefox 58.0,,2018-02-05 14:11:33,2018-02-05 14:12:10,"36,105s",FAILED
openBrowser,Firefox 58.0,,2018-02-05 14:11:34,2018-02-05 14:11:43,"9,754s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-05 14:11:43,2018-02-05 14:11:49,"5,522s",PASSED
click,Firefox 58.0,,2018-02-05 14:11:49,2018-02-05 14:11:52,"3,360s",PASSED
setText,Firefox 58.0,,2018-02-05 14:11:52,2018-02-05 14:11:56,"4,125s",PASSED
setText,Firefox 58.0,,2018-02-05 14:11:56,2018-02-05 14:12:01,"4,094s",PASSED
click,Firefox 58.0,,2018-02-05 14:12:01,2018-02-05 14:12:06,"5,783s",PASSED
click,Firefox 58.0,,2018-02-05 14:12:06,2018-02-05 14:12:10,"3,204s",FAILED
