Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validacao Campos,Chrome 63.0.3239.132,,2018-01-26 10:01:04,2018-01-26 10:01:41,"37,291s",PASSED
,,,,,,
Test Cases/COMPRAS/Verificar Titular Cartao,Chrome 63.0.3239.132,,2018-01-26 10:01:04,2018-01-26 10:01:04,"0,368s",PASSED
Statement - return null,Chrome 63.0.3239.132,,2018-01-26 10:01:04,2018-01-26 10:01:04,"0,001s",PASSED
,,,,,,
Test Cases/HOMEPAGE/Verificar Email Rodape,Chrome 63.0.3239.132,,2018-01-26 10:01:04,2018-01-26 10:01:15,"10,369s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-26 10:01:05,2018-01-26 10:01:07,"2,772s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-26 10:01:07,2018-01-26 10:01:14,"6,692s",PASSED
check,Chrome 63.0.3239.132,,2018-01-26 10:01:14,2018-01-26 10:01:14,"0,115s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-26 10:01:14,2018-01-26 10:01:15,"0,660s",PASSED
,,,,,,
Test Cases/HOMEPAGE/Verificar PoliticasPrivacidade,Chrome 63.0.3239.132,,2018-01-26 10:01:15,2018-01-26 10:01:25,"10,189s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-26 10:01:15,2018-01-26 10:01:17,"1,944s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-26 10:01:17,2018-01-26 10:01:23,"5,809s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 10:01:23,2018-01-26 10:01:24,"1,562s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 10:01:24,2018-01-26 10:01:24,"0,104s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-26 10:01:24,2018-01-26 10:01:25,"0,632s",PASSED
,,,,,,
Test Cases/HOMEPAGE/Verificar Localizacao,Chrome 63.0.3239.132,,2018-01-26 10:01:25,2018-01-26 10:01:41,"15,904s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-26 10:01:25,2018-01-26 10:01:27,"1,957s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-26 10:01:27,2018-01-26 10:01:33,"5,890s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 10:01:33,2018-01-26 10:01:33,"0,135s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 10:01:33,2018-01-26 10:01:38,"4,788s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-26 10:01:38,2018-01-26 10:01:38,"0,159s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 10:01:38,2018-01-26 10:01:38,"0,064s",PASSED
check,Chrome 63.0.3239.132,,2018-01-26 10:01:38,2018-01-26 10:01:40,"2,142s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-26 10:01:40,2018-01-26 10:01:41,"0,636s",PASSED
