Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mensagens de validacao,Firefox 58.0,,2018-01-25 12:07:56,2018-01-25 12:09:13,"1m - 16,735s",FAILED
,,,,,,
Test Cases/MSG CPF Invalido,Firefox 58.0,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-01-25 12:07:56,2018-01-25 12:08:10,"13,304s",PASSED
openBrowser,Firefox 58.0,,2018-01-25 12:07:57,2018-01-25 12:08:02,"5,363s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-25 12:08:02,2018-01-25 12:08:07,"4,999s",PASSED
click,Firefox 58.0,,2018-01-25 12:08:07,2018-01-25 12:08:09,"1,390s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 12:08:09,2018-01-25 12:08:09,"0,236s",PASSED
setText,Firefox 58.0,,2018-01-25 12:08:09,2018-01-25 12:08:09,"0,089s",PASSED
setText,Firefox 58.0,,2018-01-25 12:08:09,2018-01-25 12:08:09,"0,050s",PASSED
click,Firefox 58.0,,2018-01-25 12:08:09,2018-01-25 12:08:09,"0,248s",PASSED
check,Firefox 58.0,,2018-01-25 12:08:09,2018-01-25 12:08:10,"0,251s",PASSED
closeBrowser,Firefox 58.0,,2018-01-25 12:08:10,2018-01-25 12:08:10,"0,261s",PASSED
,,,,,,
Test Cases/MSG CPF nao cadastrado,Firefox 58.0,,2018-01-25 12:08:10,2018-01-25 12:08:30,"20,466s",FAILED
openBrowser,Firefox 58.0,,2018-01-25 12:08:10,2018-01-25 12:08:16,"5,737s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-25 12:08:16,2018-01-25 12:08:20,"3,949s",PASSED
click,Firefox 58.0,,2018-01-25 12:08:20,2018-01-25 12:08:21,"1,391s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 12:08:21,2018-01-25 12:08:21,"0,211s",PASSED
setText,Firefox 58.0,,2018-01-25 12:08:21,2018-01-25 12:08:21,"0,083s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 12:08:21,2018-01-25 12:08:22,"0,214s",PASSED
setText,Firefox 58.0,,2018-01-25 12:08:22,2018-01-25 12:08:22,"0,079s",PASSED
click,Firefox 58.0,,2018-01-25 12:08:22,2018-01-25 12:08:22,"0,682s",PASSED
click,Firefox 58.0,,2018-01-25 12:08:22,2018-01-25 12:08:30,"7,929s",FAILED
,,,,,,
Test Cases/MSG Senha Errada,Firefox 58.0,,2018-01-25 12:08:30,2018-01-25 12:08:31,"0,232s",FAILED
openBrowser,Firefox 58.0,,2018-01-25 12:08:31,2018-01-25 12:08:31,"0,056s",FAILED
,,,,,,
Test Cases/MSG Cadastrar CPF,Firefox 58.0,,2018-01-25 12:08:31,2018-01-25 12:09:13,"42,065s",FAILED
openBrowser,Firefox 58.0,,2018-01-25 12:08:31,2018-01-25 12:08:35,"3,956s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-25 12:08:35,2018-01-25 12:08:39,"4,514s",PASSED
click,Firefox 58.0,,2018-01-25 12:08:39,2018-01-25 12:08:41,"1,287s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 12:08:41,2018-01-25 12:08:41,"0,226s",PASSED
setText,Firefox 58.0,,2018-01-25 12:08:41,2018-01-25 12:08:41,"0,491s",PASSED
click,Firefox 58.0,,2018-01-25 12:08:41,2018-01-25 12:08:42,"0,618s",PASSED
click,Firefox 58.0,,2018-01-25 12:08:42,2018-01-25 12:09:13,"30,825s",FAILED
