Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validar Campo e MSG suite,Firefox 58.0,,2018-02-01 15:14:03,2018-02-01 15:18:36,"4m - 33,712s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG Cadastrar CPF,Firefox 58.0,,2018-02-01 15:14:03,2018-02-01 15:14:36,"33,013s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 15:14:03,2018-02-01 15:14:12,"8,455s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 15:14:12,2018-02-01 15:14:21,"9,714s",PASSED
click,Firefox 58.0,,2018-02-01 15:14:21,2018-02-01 15:14:26,"4,199s",PASSED
setText,Firefox 58.0,,2018-02-01 15:14:26,2018-02-01 15:14:30,"4,150s",PASSED
click,Firefox 58.0,,2018-02-01 15:14:30,2018-02-01 15:14:32,"2,651s",PASSED
click,Firefox 58.0,,2018-02-01 15:14:32,2018-02-01 15:14:35,"2,258s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 15:14:35,2018-02-01 15:14:36,"1,318s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF Invalido,Firefox 58.0,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-02-01 15:14:36,2018-02-01 15:15:15,"38,827s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 15:14:36,2018-02-01 15:14:44,"7,456s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 15:14:44,2018-02-01 15:14:53,"9,526s",PASSED
click,Firefox 58.0,,2018-02-01 15:14:53,2018-02-01 15:14:58,"4,488s",PASSED
doubleClick,Firefox 58.0,,2018-02-01 15:14:58,2018-02-01 15:15:00,"2,228s",PASSED
setText,Firefox 58.0,,2018-02-01 15:15:00,2018-02-01 15:15:04,"4,113s",PASSED
setText,Firefox 58.0,,2018-02-01 15:15:04,2018-02-01 15:15:08,"4,083s",PASSED
click,Firefox 58.0,,2018-02-01 15:15:08,2018-02-01 15:15:10,"2,266s",PASSED
check,Firefox 58.0,,2018-02-01 15:15:10,2018-02-01 15:15:14,"3,283s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 15:15:14,2018-02-01 15:15:15,"1,214s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF Ja Cadastrado,Firefox 58.0,,2018-02-01 15:15:15,2018-02-01 15:15:50,"35,395s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 15:15:15,2018-02-01 15:15:23,"7,468s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 15:15:23,2018-02-01 15:15:33,"10,741s",PASSED
click,Firefox 58.0,,2018-02-01 15:15:33,2018-02-01 15:15:38,"4,588s",PASSED
setText,Firefox 58.0,,2018-02-01 15:15:38,2018-02-01 15:15:42,"4,117s",PASSED
click,Firefox 58.0,,2018-02-01 15:15:42,2018-02-01 15:15:46,"3,844s",PASSED
check,Firefox 58.0,,2018-02-01 15:15:46,2018-02-01 15:15:49,"3,252s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 15:15:49,2018-02-01 15:15:50,"1,242s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF nao cadastrado,Firefox 58.0,,2018-02-01 15:15:50,2018-02-01 15:16:32,"41,672s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 15:15:50,2018-02-01 15:15:58,"7,452s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 15:15:58,2018-02-01 15:16:07,"9,167s",PASSED
click,Firefox 58.0,,2018-02-01 15:16:07,2018-02-01 15:16:12,"4,451s",PASSED
doubleClick,Firefox 58.0,,2018-02-01 15:16:12,2018-02-01 15:16:14,"2,233s",PASSED
setText,Firefox 58.0,,2018-02-01 15:16:14,2018-02-01 15:16:18,"4,120s",PASSED
doubleClick,Firefox 58.0,,2018-02-01 15:16:18,2018-02-01 15:16:20,"2,214s",PASSED
setText,Firefox 58.0,,2018-02-01 15:16:20,2018-02-01 15:16:24,"4,055s",PASSED
click,Firefox 58.0,,2018-02-01 15:16:24,2018-02-01 15:16:27,"3,331s",PASSED
check,Firefox 58.0,,2018-02-01 15:16:27,2018-02-01 15:16:31,"3,252s",PASSED
