Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validar Campo e MSG suite,Firefox 58.0,,2018-02-01 11:07:19,2018-02-01 11:11:40,"4m - 21,976s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG Cadastrar CPF,Firefox 58.0,,2018-02-01 11:07:19,2018-02-01 11:07:51,"32,232s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 11:07:19,2018-02-01 11:07:27,"7,874s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 11:07:27,2018-02-01 11:07:36,"9,258s",PASSED
click,Firefox 58.0,,2018-02-01 11:07:36,2018-02-01 11:07:41,"4,793s",PASSED
setText,Firefox 58.0,,2018-02-01 11:07:41,2018-02-01 11:07:45,"4,147s",PASSED
click,Firefox 58.0,,2018-02-01 11:07:45,2018-02-01 11:07:48,"2,398s",PASSED
click,Firefox 58.0,,2018-02-01 11:07:48,2018-02-01 11:07:50,"2,253s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 11:07:50,2018-02-01 11:07:51,"1,255s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF Invalido,Firefox 58.0,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-02-01 11:07:51,2018-02-01 11:08:29,"38,158s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 11:07:51,2018-02-01 11:07:58,"6,933s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 11:07:58,2018-02-01 11:08:08,"9,625s",PASSED
click,Firefox 58.0,,2018-02-01 11:08:08,2018-02-01 11:08:12,"4,242s",PASSED
doubleClick,Firefox 58.0,,2018-02-01 11:08:12,2018-02-01 11:08:14,"2,253s",PASSED
setText,Firefox 58.0,,2018-02-01 11:08:14,2018-02-01 11:08:18,"4,113s",PASSED
setText,Firefox 58.0,,2018-02-01 11:08:18,2018-02-01 11:08:22,"4,067s",PASSED
click,Firefox 58.0,,2018-02-01 11:08:22,2018-02-01 11:08:25,"2,274s",PASSED
check,Firefox 58.0,,2018-02-01 11:08:25,2018-02-01 11:08:28,"3,279s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 11:08:28,2018-02-01 11:08:29,"1,223s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF Ja Cadastrado,Firefox 58.0,,2018-02-01 11:08:29,2018-02-01 11:09:02,"32,602s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 11:08:29,2018-02-01 11:08:36,"6,965s",PASSED
