Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validar Campo e MSG suite,Firefox 58.0,,2018-02-01 09:36:48,2018-02-01 09:40:28,"3m - 39,957s",FAILED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG Cadastrar CPF,Firefox 58.0,,2018-02-01 09:36:48,2018-02-01 09:37:16,"27,522s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 09:36:48,2018-02-01 09:36:56,"7,923s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 09:36:56,2018-02-01 09:37:02,"5,852s",PASSED
click,Firefox 58.0,,2018-02-01 09:37:02,2018-02-01 09:37:05,"3,375s",PASSED
setText,Firefox 58.0,,2018-02-01 09:37:05,2018-02-01 09:37:10,"4,110s",PASSED
click,Firefox 58.0,,2018-02-01 09:37:10,2018-02-01 09:37:12,"2,413s",PASSED
click,Firefox 58.0,,2018-02-01 09:37:12,2018-02-01 09:37:14,"2,240s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 09:37:14,2018-02-01 09:37:16,"1,364s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF Invalido,Firefox 58.0,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-02-01 09:37:16,2018-02-01 09:37:51,"35,247s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 09:37:16,2018-02-01 09:37:24,"8,485s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 09:37:24,2018-02-01 09:37:30,"6,054s",PASSED
click,Firefox 58.0,,2018-02-01 09:37:30,2018-02-01 09:37:34,"3,362s",PASSED
doubleClick,Firefox 58.0,,2018-02-01 09:37:34,2018-02-01 09:37:36,"2,224s",PASSED
setText,Firefox 58.0,,2018-02-01 09:37:36,2018-02-01 09:37:40,"4,107s",PASSED
setText,Firefox 58.0,,2018-02-01 09:37:40,2018-02-01 09:37:44,"4,076s",PASSED
click,Firefox 58.0,,2018-02-01 09:37:44,2018-02-01 09:37:46,"2,270s",PASSED
check,Firefox 58.0,,2018-02-01 09:37:46,2018-02-01 09:37:50,"3,276s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 09:37:50,2018-02-01 09:37:51,"1,233s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF Ja Cadastrado,Firefox 58.0,,2018-02-01 09:37:51,2018-02-01 09:38:20,"29,085s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 09:37:51,2018-02-01 09:37:58,"7,464s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 09:37:58,2018-02-01 09:38:05,"6,250s",PASSED
click,Firefox 58.0,,2018-02-01 09:38:05,2018-02-01 09:38:08,"3,468s",PASSED
setText,Firefox 58.0,,2018-02-01 09:38:08,2018-02-01 09:38:12,"4,112s",PASSED
click,Firefox 58.0,,2018-02-01 09:38:12,2018-02-01 09:38:15,"3,151s",PASSED
check,Firefox 58.0,,2018-02-01 09:38:15,2018-02-01 09:38:19,"3,260s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 09:38:19,2018-02-01 09:38:20,"1,269s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF nao cadastrado,Firefox 58.0,,2018-02-01 09:38:20,2018-02-01 09:38:57,"36,641s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 09:38:20,2018-02-01 09:38:28,"7,434s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 09:38:28,2018-02-01 09:38:33,"5,675s",PASSED
click,Firefox 58.0,,2018-02-01 09:38:33,2018-02-01 09:38:37,"3,430s",PASSED
doubleClick,Firefox 58.0,,2018-02-01 09:38:37,2018-02-01 09:38:39,"2,214s",PASSED
setText,Firefox 58.0,,2018-02-01 09:38:39,2018-02-01 09:38:43,"4,113s",PASSED
doubleClick,Firefox 58.0,,2018-02-01 09:38:43,2018-02-01 09:38:45,"2,209s",PASSED
setText,Firefox 58.0,,2018-02-01 09:38:45,2018-02-01 09:38:49,"4,083s",PASSED
click,Firefox 58.0,,2018-02-01 09:38:49,2018-02-01 09:38:52,"2,833s",PASSED
check,Firefox 58.0,,2018-02-01 09:38:52,2018-02-01 09:38:55,"3,272s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 09:38:55,2018-02-01 09:38:57,"1,233s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG Senha Errada,Firefox 58.0,,2018-02-01 09:38:57,2018-02-01 09:39:33,"36,637s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 09:38:57,2018-02-01 09:39:04,"7,464s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 09:39:04,2018-02-01 09:39:10,"5,444s",PASSED
doubleClick,Firefox 58.0,,2018-02-01 09:39:10,2018-02-01 09:39:12,"2,216s",PASSED
doubleClick,Firefox 58.0,,2018-02-01 09:39:12,2018-02-01 09:39:16,"3,724s",PASSED
setText,Firefox 58.0,,2018-02-01 09:39:16,2018-02-01 09:39:20,"4,110s",PASSED
doubleClick,Firefox 58.0,,2018-02-01 09:39:20,2018-02-01 09:39:22,"2,227s",PASSED
setText,Firefox 58.0,,2018-02-01 09:39:22,2018-02-01 09:39:26,"4,072s",PASSED
click,Firefox 58.0,,2018-02-01 09:39:26,2018-02-01 09:39:29,"2,672s",PASSED
check,Firefox 58.0,,2018-02-01 09:39:29,2018-02-01 09:39:32,"3,257s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 09:39:32,2018-02-01 09:39:33,"1,331s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/Verificar Email Rodape,Firefox 58.0,,2018-02-01 09:39:33,2018-02-01 09:39:51,"17,596s",PASSED
