Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mensagens de validacao,Firefox 58.0,,2018-01-24 11:08:42,2018-01-24 11:09:39,"57,095s",PASSED
,,,,,,
Test Cases/MSG CPF Invalido,Firefox 58.0,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-01-24 11:08:42,2018-01-24 11:08:55,"13,084s",PASSED
openBrowser,Firefox 58.0,,2018-01-24 11:08:43,2018-01-24 11:08:49,"6,096s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-24 11:08:49,2018-01-24 11:08:53,"3,958s",PASSED
click,Firefox 58.0,,2018-01-24 11:08:53,2018-01-24 11:08:54,"1,486s",PASSED
doubleClick,Firefox 58.0,,2018-01-24 11:08:54,2018-01-24 11:08:54,"0,250s",PASSED
setText,Firefox 58.0,,2018-01-24 11:08:54,2018-01-24 11:08:54,"0,097s",PASSED
setText,Firefox 58.0,,2018-01-24 11:08:54,2018-01-24 11:08:54,"0,049s",PASSED
click,Firefox 58.0,,2018-01-24 11:08:54,2018-01-24 11:08:55,"0,252s",PASSED
check,Firefox 58.0,,2018-01-24 11:08:55,2018-01-24 11:08:55,"0,263s",PASSED
closeBrowser,Firefox 58.0,,2018-01-24 11:08:55,2018-01-24 11:08:55,"0,262s",PASSED
,,,,,,
Test Cases/MSG CPF nao cadastrado,Firefox 58.0,,2018-01-24 11:08:55,2018-01-24 11:09:07,"11,909s",PASSED
openBrowser,Firefox 58.0,,2018-01-24 11:08:55,2018-01-24 11:09:00,"4,465s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-24 11:09:00,2018-01-24 11:09:04,"4,307s",PASSED
click,Firefox 58.0,,2018-01-24 11:09:04,2018-01-24 11:09:06,"1,291s",PASSED
doubleClick,Firefox 58.0,,2018-01-24 11:09:06,2018-01-24 11:09:06,"0,213s",PASSED
setText,Firefox 58.0,,2018-01-24 11:09:06,2018-01-24 11:09:06,"0,072s",PASSED
doubleClick,Firefox 58.0,,2018-01-24 11:09:06,2018-01-24 11:09:06,"0,211s",PASSED
setText,Firefox 58.0,,2018-01-24 11:09:06,2018-01-24 11:09:06,"0,082s",PASSED
click,Firefox 58.0,,2018-01-24 11:09:06,2018-01-24 11:09:07,"0,659s",PASSED
click,Firefox 58.0,,2018-01-24 11:09:07,2018-01-24 11:09:07,"0,242s",PASSED
closeBrowser,Firefox 58.0,,2018-01-24 11:09:07,2018-01-24 11:09:07,"0,232s",PASSED
,,,,,,
Test Cases/MSG Senha Errada,Firefox 58.0,,2018-01-24 11:09:07,2018-01-24 11:09:20,"12,804s",PASSED
openBrowser,Firefox 58.0,,2018-01-24 11:09:07,2018-01-24 11:09:12,"4,478s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-24 11:09:12,2018-01-24 11:09:17,"4,634s",PASSED
doubleClick,Firefox 58.0,,2018-01-24 11:09:17,2018-01-24 11:09:17,"0,192s",PASSED
doubleClick,Firefox 58.0,,2018-01-24 11:09:17,2018-01-24 11:09:18,"1,744s",PASSED
setText,Firefox 58.0,,2018-01-24 11:09:18,2018-01-24 11:09:19,"0,075s",PASSED
doubleClick,Firefox 58.0,,2018-01-24 11:09:19,2018-01-24 11:09:19,"0,207s",PASSED
setText,Firefox 58.0,,2018-01-24 11:09:19,2018-01-24 11:09:19,"0,076s",PASSED
click,Firefox 58.0,,2018-01-24 11:09:19,2018-01-24 11:09:19,"0,589s",PASSED
click,Firefox 58.0,,2018-01-24 11:09:19,2018-01-24 11:09:20,"0,236s",PASSED
closeBrowser,Firefox 58.0,,2018-01-24 11:09:20,2018-01-24 11:09:20,"0,444s",PASSED
,,,,,,
Test Cases/MSG Cadastrar CPF,Firefox 58.0,,2018-01-24 11:09:20,2018-01-24 11:09:39,"18,841s",PASSED
openBrowser,Firefox 58.0,,2018-01-24 11:09:20,2018-01-24 11:09:25,"5,011s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-24 11:09:25,2018-01-24 11:09:31,"6,096s",PASSED
doubleClick,Firefox 58.0,,2018-01-24 11:09:31,2018-01-24 11:09:32,"0,226s",PASSED
setText,Firefox 58.0,,2018-01-24 11:09:32,2018-01-24 11:09:32,"0,482s",PASSED
click,Firefox 58.0,,2018-01-24 11:09:32,2018-01-24 11:09:32,"0,254s",PASSED
check,Firefox 58.0,,2018-01-24 11:09:32,2018-01-24 11:09:39,"6,383s",PASSED
closeBrowser,Firefox 58.0,,2018-01-24 11:09:39,2018-01-24 11:09:39,"0,258s",PASSED
