Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validacao Campos,Firefox 58.0,,2018-01-24 17:53:17,2018-01-24 17:54:18,"1m - 0,376s",FAILED
,,,,,,
Test Cases/Verificar Titular Cartao,Firefox 58.0,,2018-01-24 17:53:18,2018-01-24 17:54:04,"46,733s",FAILED
openBrowser,Firefox 58.0,,2018-01-24 17:53:18,2018-01-24 17:53:24,"5,767s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-24 17:53:24,2018-01-24 17:53:28,"4,151s",PASSED
click,Firefox 58.0,,2018-01-24 17:53:28,2018-01-24 17:53:29,"1,434s",PASSED
doubleClick,Firefox 58.0,,2018-01-24 17:53:29,2018-01-24 17:53:30,"0,255s",PASSED
setText,Firefox 58.0,,2018-01-24 17:53:30,2018-01-24 17:53:30,"0,091s",PASSED
setText,Firefox 58.0,,2018-01-24 17:53:30,2018-01-24 17:53:30,"0,051s",PASSED
click,Firefox 58.0,,2018-01-24 17:53:30,2018-01-24 17:53:32,"2,035s",PASSED
click,Firefox 58.0,,2018-01-24 17:53:32,2018-01-24 17:54:04,"32,556s",FAILED
,,,,,,
Test Cases/Verificar Email Rodape,Firefox 58.0,,2018-01-24 17:54:04,2018-01-24 17:54:18,"13,293s",PASSED
openBrowser,Firefox 58.0,,2018-01-24 17:54:05,2018-01-24 17:54:10,"5,872s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-24 17:54:10,2018-01-24 17:54:17,"6,738s",PASSED
check,Firefox 58.0,,2018-01-24 17:54:17,2018-01-24 17:54:17,"0,293s",PASSED
closeBrowser,Firefox 58.0,,2018-01-24 17:54:17,2018-01-24 17:54:18,"0,245s",PASSED
