Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Compras,Firefox 58.0,,2018-02-01 17:18:40,2018-02-01 17:21:52,"3m - 12,314s",FAILED
,,,,,,
Test Cases/COMPRAS/Adicionar Carrinho,Firefox 58.0,,2018-02-01 17:18:40,2018-02-01 17:19:42,"1m - 2,559s",FAILED
openBrowser,Firefox 58.0,,2018-02-01 17:18:40,2018-02-01 17:18:48,"7,832s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 17:18:48,2018-02-01 17:18:53,"5,466s",PASSED
click,Firefox 58.0,,2018-02-01 17:18:53,2018-02-01 17:18:57,"3,300s",PASSED
setText,Firefox 58.0,,2018-02-01 17:18:57,2018-02-01 17:19:01,"4,130s",PASSED
setText,Firefox 58.0,,2018-02-01 17:19:01,2018-02-01 17:19:05,"4,110s",PASSED
click,Firefox 58.0,,2018-02-01 17:19:05,2018-02-01 17:19:09,"3,795s",PASSED
click,Firefox 58.0,,2018-02-01 17:19:09,2018-02-01 17:19:11,"2,266s",PASSED
click,Firefox 58.0,,2018-02-01 17:19:11,2018-02-01 17:19:42,"31,390s",FAILED
,,,,,,
Test Cases/COMPRAS/Minhas inscricoes - Concluida,Firefox 58.0,,2018-02-01 17:19:42,2018-02-01 17:20:50,"1m - 7,548s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 17:19:43,2018-02-01 17:19:51,"8,182s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 17:19:51,2018-02-01 17:19:57,"6,059s",PASSED
click,Firefox 58.0,,2018-02-01 17:19:57,2018-02-01 17:20:00,"3,310s",PASSED
setText,Firefox 58.0,,2018-02-01 17:20:00,2018-02-01 17:20:04,"4,109s",PASSED
setText,Firefox 58.0,,2018-02-01 17:20:04,2018-02-01 17:20:08,"4,101s",PASSED
click,Firefox 58.0,,2018-02-01 17:20:08,2018-02-01 17:20:13,"4,310s",PASSED
click,Firefox 58.0,,2018-02-01 17:20:13,2018-02-01 17:20:15,"2,276s",PASSED
click,Firefox 58.0,,2018-02-01 17:20:15,2018-02-01 17:20:18,"3,362s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-01 17:20:18,2018-02-01 17:20:37,"18,533s",PASSED
click,Firefox 58.0,,2018-02-01 17:20:37,2018-02-01 17:20:40,"3,603s",PASSED
check,Firefox 58.0,,2018-02-01 17:20:40,2018-02-01 17:20:49,"8,267s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 17:20:49,2018-02-01 17:20:50,"1,279s",PASSED
,,,,,,
Test Cases/COMPRAS/Minhas inscricoes - Sem Resultado,Firefox 58.0,,2018-02-01 17:20:50,2018-02-01 17:21:52,"1m - 1,828s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 17:20:50,2018-02-01 17:20:58,"7,467s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 17:20:58,2018-02-01 17:21:06,"8,082s",PASSED
click,Firefox 58.0,,2018-02-01 17:21:06,2018-02-01 17:21:09,"3,359s",PASSED
setText,Firefox 58.0,,2018-02-01 17:21:09,2018-02-01 17:21:13,"4,119s",PASSED
setText,Firefox 58.0,,2018-02-01 17:21:13,2018-02-01 17:21:17,"4,077s",PASSED
click,Firefox 58.0,,2018-02-01 17:21:17,2018-02-01 17:21:22,"4,602s",PASSED
click,Firefox 58.0,,2018-02-01 17:21:22,2018-02-01 17:21:24,"2,262s",PASSED
click,Firefox 58.0,,2018-02-01 17:21:24,2018-02-01 17:21:27,"3,208s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-01 17:21:27,2018-02-01 17:21:45,"17,478s",PASSED
click,Firefox 58.0,,2018-02-01 17:21:45,2018-02-01 17:21:47,"2,565s",PASSED
check,Firefox 58.0,,2018-02-01 17:21:47,2018-02-01 17:21:51,"3,249s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 17:21:51,2018-02-01 17:21:52,"1,214s",PASSED
