Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pag Entre,Firefox 58.0,,2018-02-01 16:38:44,2018-02-01 16:40:57,"2m - 13,034s",PASSED
,,,,,,
Test Cases/ENTRE/Login Valido,Firefox 58.0,,2018-02-01 16:38:44,2018-02-01 16:39:18,"34,151s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 16:38:44,2018-02-01 16:38:53,"8,341s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 16:38:53,2018-02-01 16:38:58,"5,529s",PASSED
click,Firefox 58.0,,2018-02-01 16:38:58,2018-02-01 16:39:02,"3,338s",PASSED
setText,Firefox 58.0,,2018-02-01 16:39:02,2018-02-01 16:39:06,"4,139s",PASSED
setText,Firefox 58.0,,2018-02-01 16:39:06,2018-02-01 16:39:10,"4,106s",PASSED
click,Firefox 58.0,,2018-02-01 16:39:10,2018-02-01 16:39:14,"3,861s",PASSED
check,Firefox 58.0,,2018-02-01 16:39:14,2018-02-01 16:39:17,"3,295s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 16:39:17,2018-02-01 16:39:18,"1,244s",PASSED
,,,,,,
Test Cases/ENTRE/RecuperacaoSenha,Firefox 58.0,,2018-02-01 16:39:18,2018-02-01 16:39:51,"33,138s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 16:39:18,2018-02-01 16:39:26,"7,986s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 16:39:26,2018-02-01 16:39:32,"5,444s",PASSED
click,Firefox 58.0,,2018-02-01 16:39:32,2018-02-01 16:39:35,"3,313s",PASSED
click,Firefox 58.0,,2018-02-01 16:39:35,2018-02-01 16:39:37,"2,253s",PASSED
delay,Firefox 58.0,,2018-02-01 16:39:37,2018-02-01 16:39:40,"3,036s",PASSED
setText,Firefox 58.0,,2018-02-01 16:39:40,2018-02-01 16:39:45,"4,119s",PASSED
click,Firefox 58.0,,2018-02-01 16:39:45,2018-02-01 16:39:47,"2,265s",PASSED
check,Firefox 58.0,,2018-02-01 16:39:47,2018-02-01 16:39:50,"3,242s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 16:39:50,2018-02-01 16:39:51,"1,304s",PASSED
,,,,,,
Test Cases/ENTRE/Meus dados - Alterar Senha,Firefox 58.0,,2018-02-01 16:39:51,2018-02-01 16:40:57,"1m - 5,314s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 16:39:52,2018-02-01 16:40:00,"8,038s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 16:40:00,2018-02-01 16:40:06,"6,596s",PASSED
click,Firefox 58.0,,2018-02-01 16:40:06,2018-02-01 16:40:09,"3,249s",PASSED
setText,Firefox 58.0,,2018-02-01 16:40:09,2018-02-01 16:40:14,"4,106s",PASSED
setText,Firefox 58.0,,2018-02-01 16:40:14,2018-02-01 16:40:18,"4,094s",PASSED
click,Firefox 58.0,,2018-02-01 16:40:18,2018-02-01 16:40:21,"3,737s",PASSED
click,Firefox 58.0,,2018-02-01 16:40:21,2018-02-01 16:40:24,"2,265s",PASSED
click,Firefox 58.0,,2018-02-01 16:40:24,2018-02-01 16:40:29,"5,290s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 16:40:29,2018-02-01 16:40:30,"1,464s",PASSED
setText,Firefox 58.0,,2018-02-01 16:40:30,2018-02-01 16:40:34,"4,080s",PASSED
setText,Firefox 58.0,,2018-02-01 16:40:34,2018-02-01 16:40:39,"4,087s",PASSED
click,Firefox 58.0,,2018-02-01 16:40:39,2018-02-01 16:40:45,"6,864s",PASSED
click,Firefox 58.0,,2018-02-01 16:40:45,2018-02-01 16:40:50,"4,526s",PASSED
click,Firefox 58.0,,2018-02-01 16:40:50,2018-02-01 16:40:52,"2,266s",PASSED
check,Firefox 58.0,,2018-02-01 16:40:52,2018-02-01 16:40:55,"3,253s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 16:40:55,2018-02-01 16:40:57,"1,242s",PASSED
