Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validacao Campos,Chrome 63.0.3239.132,,2018-01-26 17:03:45,2018-01-26 17:04:27,"41,984s",PASSED
,,,,,,
Test Cases/HOMEPAGE/Verificar Email Rodape,Chrome 63.0.3239.132,,2018-01-26 17:03:45,2018-01-26 17:03:58,"12,191s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-26 17:03:46,2018-01-26 17:03:49,"3,636s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-26 17:03:49,2018-01-26 17:03:57,"7,298s",PASSED
check,Chrome 63.0.3239.132,,2018-01-26 17:03:57,2018-01-26 17:03:57,"0,154s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-26 17:03:57,2018-01-26 17:03:58,"0,713s",PASSED
,,,,,,
Test Cases/HOMEPAGE/Verificar PoliticasPrivacidade,Chrome 63.0.3239.132,,2018-01-26 17:03:58,2018-01-26 17:04:11,"13,316s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-26 17:03:58,2018-01-26 17:04:00,"2,562s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-26 17:04:00,2018-01-26 17:04:08,"8,072s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 17:04:08,2018-01-26 17:04:10,"1,761s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 17:04:10,2018-01-26 17:04:10,"0,121s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-26 17:04:10,2018-01-26 17:04:11,"0,626s",PASSED
,,,,,,
Test Cases/HOMEPAGE/Verificar Localizacao,Chrome 63.0.3239.132,,2018-01-26 17:04:11,2018-01-26 17:04:27,"16,072s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-26 17:04:11,2018-01-26 17:04:14,"2,454s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-26 17:04:14,2018-01-26 17:04:20,"6,825s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 17:04:20,2018-01-26 17:04:21,"0,188s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 17:04:21,2018-01-26 17:04:25,"4,274s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-26 17:04:25,2018-01-26 17:04:25,"0,195s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 17:04:25,2018-01-26 17:04:25,"0,115s",PASSED
check,Chrome 63.0.3239.132,,2018-01-26 17:04:25,2018-01-26 17:04:26,"1,244s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-26 17:04:26,2018-01-26 17:04:27,"0,646s",PASSED
