Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mensagens de validacao,Chrome 63.0.3239.132,,2018-01-26 14:33:28,2018-01-26 14:34:31,"1m - 2,886s",FAILED
,,,,,,
Test Cases/ENTRE/MSG CPF Invalido,Chrome 63.0.3239.132,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-01-26 14:33:29,2018-01-26 14:33:41,"12,691s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-26 14:33:29,2018-01-26 14:33:32,"3,021s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-26 14:33:32,2018-01-26 14:33:38,"6,092s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 14:33:38,2018-01-26 14:33:40,"1,589s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 14:33:40,2018-01-26 14:33:40,"0,178s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-26 14:33:40,2018-01-26 14:33:40,"0,207s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-26 14:33:40,2018-01-26 14:33:40,"0,138s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 14:33:40,2018-01-26 14:33:40,"0,123s",PASSED
check,Chrome 63.0.3239.132,,2018-01-26 14:33:40,2018-01-26 14:33:41,"0,148s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-26 14:33:41,2018-01-26 14:33:41,"0,750s",PASSED
,,,,,,
Test Cases/ENTRE/MSG CPF nao cadastrado,Chrome 63.0.3239.132,,2018-01-26 14:33:41,2018-01-26 14:33:53,"11,830s",FAILED
openBrowser,Chrome 63.0.3239.132,,2018-01-26 14:33:42,2018-01-26 14:33:44,"2,214s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-26 14:33:44,2018-01-26 14:33:49,"5,578s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 14:33:49,2018-01-26 14:33:51,"1,417s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 14:33:51,2018-01-26 14:33:51,"0,098s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-26 14:33:51,2018-01-26 14:33:51,"0,143s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 14:33:51,2018-01-26 14:33:51,"0,084s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-26 14:33:51,2018-01-26 14:33:51,"0,100s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 14:33:51,2018-01-26 14:33:53,"1,545s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 14:33:53,2018-01-26 14:33:53,"0,486s",FAILED
,,,,,,
Test Cases/ENTRE/MSG Senha Errada,Chrome 63.0.3239.132,,2018-01-26 14:33:53,2018-01-26 14:34:06,"13,089s",FAILED
openBrowser,Chrome 63.0.3239.132,,2018-01-26 14:33:53,2018-01-26 14:33:57,"3,216s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-26 14:33:57,2018-01-26 14:34:03,"5,939s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 14:34:03,2018-01-26 14:34:04,"1,384s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-26 14:34:04,2018-01-26 14:34:04,"0,075s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-26 14:34:04,2018-01-26 14:34:04,"0,110s",PASSED
