Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pagamentos,Chrome 63.0.3239.132,,2018-01-25 18:00:40,2018-01-25 18:01:02,"21,218s",PASSED
,,,,,,
Test Cases/Adicionar Carrinho,Chrome 63.0.3239.132,,2018-01-25 18:00:41,2018-01-25 18:01:02,"20,898s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 18:00:41,2018-01-25 18:00:44,"2,793s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 18:00:44,2018-01-25 18:00:50,"6,091s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 18:00:50,2018-01-25 18:00:51,"1,412s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 18:00:51,2018-01-25 18:00:52,"0,134s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 18:00:52,2018-01-25 18:00:52,"0,100s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 18:00:52,2018-01-25 18:00:54,"2,379s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 18:00:54,2018-01-25 18:00:58,"4,010s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 18:00:58,2018-01-25 18:00:58,"0,109s",PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-25 18:00:58,2018-01-25 18:00:58,"0,048s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 18:00:58,2018-01-25 18:01:01,"2,760s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-25 18:01:01,2018-01-25 18:01:02,"0,674s",PASSED
