Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Compras,Firefox 58.0,,2018-02-01 10:09:47,2018-02-01 10:11:42,"1m - 55,889s",PASSED
,,,,,,
Test Cases/COMPRAS/Adicionar Carrinho,Firefox 58.0,,2018-02-01 10:09:47,2018-02-01 10:10:37,"50,012s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 10:09:47,2018-02-01 10:09:55,"7,878s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 10:09:55,2018-02-01 10:10:01,"5,592s",PASSED
click,Firefox 58.0,,2018-02-01 10:10:01,2018-02-01 10:10:04,"3,718s",PASSED
setText,Firefox 58.0,,2018-02-01 10:10:04,2018-02-01 10:10:08,"4,139s",PASSED
setText,Firefox 58.0,,2018-02-01 10:10:08,2018-02-01 10:10:13,"4,107s",PASSED
click,Firefox 58.0,,2018-02-01 10:10:13,2018-02-01 10:10:16,"3,930s",PASSED
click,Firefox 58.0,,2018-02-01 10:10:16,2018-02-01 10:10:24,"7,360s",PASSED
click,Firefox 58.0,,2018-02-01 10:10:24,2018-02-01 10:10:26,"2,308s",PASSED
click,Firefox 58.0,,2018-02-01 10:10:26,2018-02-01 10:10:30,"3,776s",PASSED
click,Firefox 58.0,,2018-02-01 10:10:30,2018-02-01 10:10:32,"2,286s",PASSED
check,Firefox 58.0,,2018-02-01 10:10:32,2018-02-01 10:10:35,"3,281s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 10:10:35,2018-02-01 10:10:37,"1,361s",PASSED
,,,,,,
Test Cases/COMPRAS/Minhas inscricoes - Concluida,Firefox 58.0,,2018-02-01 10:10:37,2018-02-01 10:11:42,"1m - 5,491s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 10:10:37,2018-02-01 10:10:44,"7,486s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 10:10:44,2018-02-01 10:10:50,"5,351s",PASSED
click,Firefox 58.0,,2018-02-01 10:10:50,2018-02-01 10:10:54,"4,070s",PASSED
setText,Firefox 58.0,,2018-02-01 10:10:54,2018-02-01 10:10:58,"4,104s",PASSED
setText,Firefox 58.0,,2018-02-01 10:10:58,2018-02-01 10:11:02,"4,101s",PASSED
click,Firefox 58.0,,2018-02-01 10:11:02,2018-02-01 10:11:06,"3,861s",PASSED
click,Firefox 58.0,,2018-02-01 10:11:06,2018-02-01 10:11:08,"2,276s",PASSED
click,Firefox 58.0,,2018-02-01 10:11:08,2018-02-01 10:11:12,"3,271s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-01 10:11:12,2018-02-01 10:11:30,"18,561s",PASSED
click,Firefox 58.0,,2018-02-01 10:11:30,2018-02-01 10:11:33,"2,780s",PASSED
check,Firefox 58.0,,2018-02-01 10:11:33,2018-02-01 10:11:41,"8,255s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 10:11:41,2018-02-01 10:11:42,"1,224s",PASSED
