Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validacao Campos,Chrome 63.0.3239.132,,2018-01-25 17:51:41,2018-01-25 17:52:01,"20,370s",PASSED
,,,,,,
Test Cases/Verificar Titular Cartao,Chrome 63.0.3239.132,,2018-01-25 17:51:41,2018-01-25 17:51:41,"0,364s",PASSED
Statement - return null,Chrome 63.0.3239.132,,2018-01-25 17:51:41,2018-01-25 17:51:41,"0,001s",PASSED
,,,,,,
Test Cases/Verificar Email Rodape,Chrome 63.0.3239.132,,2018-01-25 17:51:41,2018-01-25 17:51:51,"9,298s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:51:42,2018-01-25 17:51:44,"2,793s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:51:44,2018-01-25 17:51:50,"5,580s",PASSED
check,Chrome 63.0.3239.132,,2018-01-25 17:51:50,2018-01-25 17:51:50,"0,138s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-25 17:51:50,2018-01-25 17:51:51,"0,634s",PASSED
,,,,,,
Test Cases/Verificar PoliticasPrivacidade,Chrome 63.0.3239.132,,2018-01-25 17:51:51,2018-01-25 17:52:01,"10,300s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:51:51,2018-01-25 17:51:53,"1,954s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:51:53,2018-01-25 17:51:59,"5,927s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:51:59,2018-01-25 17:52:00,"1,521s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 17:52:00,2018-01-25 17:52:00,"0,094s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-25 17:52:00,2018-01-25 17:52:01,"0,650s",PASSED
