Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Compras,Firefox 58.0,,2018-02-01 15:08:10,2018-02-01 15:11:27,"3m - 16,856s",FAILED
,,,,,,
Test Cases/COMPRAS/Adicionar Carrinho,Firefox 58.0,,2018-02-01 15:08:10,2018-02-01 15:09:15,"1m - 4,629s",FAILED
openBrowser,Firefox 58.0,,2018-02-01 15:08:10,2018-02-01 15:08:19,"8,353s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 15:08:19,2018-02-01 15:08:25,"6,501s",PASSED
click,Firefox 58.0,,2018-02-01 15:08:25,2018-02-01 15:08:29,"3,657s",PASSED
setText,Firefox 58.0,,2018-02-01 15:08:29,2018-02-01 15:08:33,"4,131s",PASSED
setText,Firefox 58.0,,2018-02-01 15:08:33,2018-02-01 15:08:37,"4,069s",PASSED
click,Firefox 58.0,,2018-02-01 15:08:37,2018-02-01 15:08:43,"6,160s",PASSED
click,Firefox 58.0,,2018-02-01 15:08:43,2018-02-01 15:09:15,"31,471s",FAILED
,,,,,,
Test Cases/COMPRAS/Minhas inscricoes - Concluida,Firefox 58.0,,2018-02-01 15:09:15,2018-02-01 15:10:25,"1m - 9,990s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 15:09:15,2018-02-01 15:09:24,"9,239s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 15:09:24,2018-02-01 15:09:32,"7,851s",PASSED
click,Firefox 58.0,,2018-02-01 15:09:32,2018-02-01 15:09:35,"3,448s",PASSED
setText,Firefox 58.0,,2018-02-01 15:09:35,2018-02-01 15:09:39,"4,125s",PASSED
setText,Firefox 58.0,,2018-02-01 15:09:39,2018-02-01 15:09:44,"4,091s",PASSED
click,Firefox 58.0,,2018-02-01 15:09:44,2018-02-01 15:09:48,"4,349s",PASSED
click,Firefox 58.0,,2018-02-01 15:09:48,2018-02-01 15:09:50,"2,243s",PASSED
click,Firefox 58.0,,2018-02-01 15:09:50,2018-02-01 15:09:53,"3,270s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-01 15:09:53,2018-02-01 15:10:12,"18,520s",PASSED
click,Firefox 58.0,,2018-02-01 15:10:12,2018-02-01 15:10:15,"3,226s",PASSED
check,Firefox 58.0,,2018-02-01 15:10:15,2018-02-01 15:10:23,"8,266s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 15:10:23,2018-02-01 15:10:25,"1,219s",PASSED
,,,,,,
Test Cases/COMPRAS/Minhas inscricoes - Sem Resultado,Firefox 58.0,,2018-02-01 15:10:25,2018-02-01 15:11:27,"1m - 1,875s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 15:10:25,2018-02-01 15:10:32,"7,476s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 15:10:32,2018-02-01 15:10:40,"7,780s",PASSED
click,Firefox 58.0,,2018-02-01 15:10:40,2018-02-01 15:10:44,"3,557s",PASSED
setText,Firefox 58.0,,2018-02-01 15:10:44,2018-02-01 15:10:48,"4,122s",PASSED
setText,Firefox 58.0,,2018-02-01 15:10:48,2018-02-01 15:10:52,"4,088s",PASSED
click,Firefox 58.0,,2018-02-01 15:10:52,2018-02-01 15:10:57,"5,094s",PASSED
click,Firefox 58.0,,2018-02-01 15:10:57,2018-02-01 15:10:59,"2,245s",PASSED
click,Firefox 58.0,,2018-02-01 15:10:59,2018-02-01 15:11:02,"2,829s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-01 15:11:02,2018-02-01 15:11:20,"17,462s",PASSED
click,Firefox 58.0,,2018-02-01 15:11:20,2018-02-01 15:11:22,"2,540s",PASSED
check,Firefox 58.0,,2018-02-01 15:11:22,2018-02-01 15:11:25,"3,258s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 15:11:25,2018-02-01 15:11:27,"1,214s",PASSED
