Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mensagens de validacao,Firefox 58.0,,2018-01-25 15:17:04,2018-01-25 15:19:01,"1m - 57,206s",FAILED
,,,,,,
Test Cases/MSG CPF Invalido,Firefox 58.0,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-01-25 15:17:04,2018-01-25 15:17:18,"14,243s",PASSED
openBrowser,Firefox 58.0,,2018-01-25 15:17:04,2018-01-25 15:17:10,"5,410s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-25 15:17:10,2018-01-25 15:17:15,"5,550s",PASSED
click,Firefox 58.0,,2018-01-25 15:17:15,2018-01-25 15:17:17,"1,426s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 15:17:17,2018-01-25 15:17:17,"0,258s",PASSED
setText,Firefox 58.0,,2018-01-25 15:17:17,2018-01-25 15:17:17,"0,117s",PASSED
setText,Firefox 58.0,,2018-01-25 15:17:17,2018-01-25 15:17:17,"0,066s",PASSED
click,Firefox 58.0,,2018-01-25 15:17:17,2018-01-25 15:17:18,"0,275s",PASSED
check,Firefox 58.0,,2018-01-25 15:17:18,2018-01-25 15:17:18,"0,277s",PASSED
closeBrowser,Firefox 58.0,,2018-01-25 15:17:18,2018-01-25 15:17:18,"0,437s",PASSED
,,,,,,
Test Cases/MSG CPF nao cadastrado,Firefox 58.0,,2018-01-25 15:17:18,2018-01-25 15:18:03,"44,396s",FAILED
openBrowser,Firefox 58.0,,2018-01-25 15:17:19,2018-01-25 15:17:23,"4,528s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-25 15:17:23,2018-01-25 15:17:29,"5,978s",PASSED
click,Firefox 58.0,,2018-01-25 15:17:29,2018-01-25 15:17:31,"1,488s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 15:17:31,2018-01-25 15:17:31,"0,228s",PASSED
setText,Firefox 58.0,,2018-01-25 15:17:31,2018-01-25 15:17:31,"0,076s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 15:17:31,2018-01-25 15:17:31,"0,222s",PASSED
setText,Firefox 58.0,,2018-01-25 15:17:31,2018-01-25 15:17:31,"0,050s",PASSED
click,Firefox 58.0,,2018-01-25 15:17:31,2018-01-25 15:17:32,"0,738s",PASSED
click,Firefox 58.0,,2018-01-25 15:17:32,2018-01-25 15:18:03,"30,891s",FAILED
,,,,,,
Test Cases/MSG Senha Errada,Firefox 58.0,,2018-01-25 15:18:03,2018-01-25 15:18:17,"13,777s",PASSED
openBrowser,Firefox 58.0,,2018-01-25 15:18:03,2018-01-25 15:18:08,"5,195s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-25 15:18:08,2018-01-25 15:18:13,"4,676s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 15:18:13,2018-01-25 15:18:13,"0,224s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 15:18:13,2018-01-25 15:18:15,"1,779s",PASSED
setText,Firefox 58.0,,2018-01-25 15:18:15,2018-01-25 15:18:15,"0,083s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 15:18:15,2018-01-25 15:18:15,"0,217s",PASSED
setText,Firefox 58.0,,2018-01-25 15:18:15,2018-01-25 15:18:15,"0,052s",PASSED
click,Firefox 58.0,,2018-01-25 15:18:15,2018-01-25 15:18:16,"0,848s",PASSED
click,Firefox 58.0,,2018-01-25 15:18:16,2018-01-25 15:18:16,"0,254s",PASSED
closeBrowser,Firefox 58.0,,2018-01-25 15:18:16,2018-01-25 15:18:17,"0,285s",PASSED
,,,,,,
Test Cases/MSG Cadastrar CPF,Firefox 58.0,,2018-01-25 15:18:17,2018-01-25 15:19:01,"44,126s",FAILED
openBrowser,Firefox 58.0,,2018-01-25 15:18:17,2018-01-25 15:18:23,"5,776s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-25 15:18:23,2018-01-25 15:18:27,"4,567s",PASSED
click,Firefox 58.0,,2018-01-25 15:18:27,2018-01-25 15:18:28,"1,379s",PASSED
doubleClick,Firefox 58.0,,2018-01-25 15:18:28,2018-01-25 15:18:29,"0,217s",PASSED
setText,Firefox 58.0,,2018-01-25 15:18:29,2018-01-25 15:18:29,"0,573s",PASSED
click,Firefox 58.0,,2018-01-25 15:18:29,2018-01-25 15:18:30,"0,615s",PASSED
click,Firefox 58.0,,2018-01-25 15:18:30,2018-01-25 15:19:01,"30,850s",FAILED
