Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Nova Suite,Firefox 58.0,,2018-01-31 11:18:49,2018-01-31 11:22:14,"3m - 25,692s",PASSED
,,,,,,
Test Cases/ENTRE/MSG Cadastrar CPF,Firefox 58.0,,2018-01-31 11:18:49,2018-01-31 11:19:21,"31,865s",PASSED
openBrowser,Firefox 58.0,,2018-01-31 11:18:49,2018-01-31 11:19:00,"10,985s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-31 11:19:00,2018-01-31 11:19:06,"5,788s",PASSED
click,Firefox 58.0,,2018-01-31 11:19:06,2018-01-31 11:19:11,"4,511s",PASSED
setText,Firefox 58.0,,2018-01-31 11:19:11,2018-01-31 11:19:15,"4,171s",PASSED
click,Firefox 58.0,,2018-01-31 11:19:15,2018-01-31 11:19:17,"2,558s",PASSED
click,Firefox 58.0,,2018-01-31 11:19:17,2018-01-31 11:19:20,"2,265s",PASSED
closeBrowser,Firefox 58.0,,2018-01-31 11:19:20,2018-01-31 11:19:21,"1,288s",PASSED
,,,,,,
Test Cases/ENTRE/MSG CPF Invalido,Firefox 58.0,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-01-31 11:19:21,2018-01-31 11:19:55,"33,874s",PASSED
openBrowser,Firefox 58.0,,2018-01-31 11:19:21,2018-01-31 11:19:29,"7,452s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-31 11:19:29,2018-01-31 11:19:34,"5,512s",PASSED
click,Firefox 58.0,,2018-01-31 11:19:34,2018-01-31 11:19:37,"3,391s",PASSED
doubleClick,Firefox 58.0,,2018-01-31 11:19:37,2018-01-31 11:19:40,"2,260s",PASSED
setText,Firefox 58.0,,2018-01-31 11:19:40,2018-01-31 11:19:44,"4,113s",PASSED
setText,Firefox 58.0,,2018-01-31 11:19:44,2018-01-31 11:19:48,"4,111s",PASSED
click,Firefox 58.0,,2018-01-31 11:19:48,2018-01-31 11:19:50,"2,295s",PASSED
check,Firefox 58.0,,2018-01-31 11:19:50,2018-01-31 11:19:54,"3,292s",PASSED
closeBrowser,Firefox 58.0,,2018-01-31 11:19:54,2018-01-31 11:19:55,"1,250s",PASSED
,,,,,,
Test Cases/ENTRE/MSG CPF Ja Cadastrado,Firefox 58.0,,2018-01-31 11:19:55,2018-01-31 11:20:24,"29,403s",PASSED
openBrowser,Firefox 58.0,,2018-01-31 11:19:55,2018-01-31 11:20:02,"7,481s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-31 11:20:02,2018-01-31 11:20:08,"5,929s",PASSED
click,Firefox 58.0,,2018-01-31 11:20:08,2018-01-31 11:20:13,"4,151s",PASSED
setText,Firefox 58.0,,2018-01-31 11:20:13,2018-01-31 11:20:17,"4,127s",PASSED
click,Firefox 58.0,,2018-01-31 11:20:17,2018-01-31 11:20:20,"3,040s",PASSED
check,Firefox 58.0,,2018-01-31 11:20:20,2018-01-31 11:20:23,"3,278s",PASSED
closeBrowser,Firefox 58.0,,2018-01-31 11:20:23,2018-01-31 11:20:24,"1,231s",PASSED
,,,,,,
Test Cases/ENTRE/MSG CPF nao cadastrado,Firefox 58.0,,2018-01-31 11:20:24,2018-01-31 11:21:03,"38,325s",PASSED
openBrowser,Firefox 58.0,,2018-01-31 11:20:24,2018-01-31 11:20:33,"8,125s",PASSED
