Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Compras,Firefox 58.0,,2018-02-02 09:52:11,2018-02-02 09:55:36,"3m - 24,989s",FAILED
,,,,,,
Test Cases/COMPRAS/Adicionar Carrinho,Firefox 58.0,,2018-02-02 09:52:11,2018-02-02 09:53:17,"1m - 6,046s",FAILED
openBrowser,Firefox 58.0,,2018-02-02 09:52:12,2018-02-02 09:52:23,"11,590s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-02 09:52:23,2018-02-02 09:52:30,"6,352s",PASSED
click,Firefox 58.0,,2018-02-02 09:52:30,2018-02-02 09:52:33,"3,591s",PASSED
setText,Firefox 58.0,,2018-02-02 09:52:33,2018-02-02 09:52:37,"4,150s",PASSED
setText,Firefox 58.0,,2018-02-02 09:52:37,2018-02-02 09:52:41,"4,103s",PASSED
click,Firefox 58.0,,2018-02-02 09:52:41,2018-02-02 09:52:46,"4,421s",PASSED
click,Firefox 58.0,,2018-02-02 09:52:46,2018-02-02 09:53:17,"31,513s",FAILED
,,,,,,
Test Cases/COMPRAS/Minhas inscricoes - Concluida,Firefox 58.0,,2018-02-02 09:53:17,2018-02-02 09:54:26,"1m - 8,383s",FAILED
openBrowser,Firefox 58.0,,2018-02-02 09:53:18,2018-02-02 09:53:26,"8,777s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-02 09:53:26,2018-02-02 09:53:32,"6,103s",PASSED
click,Firefox 58.0,,2018-02-02 09:53:32,2018-02-02 09:53:36,"3,703s",PASSED
setText,Firefox 58.0,,2018-02-02 09:53:36,2018-02-02 09:53:40,"4,114s",PASSED
setText,Firefox 58.0,,2018-02-02 09:53:40,2018-02-02 09:53:44,"4,122s",PASSED
click,Firefox 58.0,,2018-02-02 09:53:44,2018-02-02 09:53:49,"4,558s",PASSED
click,Firefox 58.0,,2018-02-02 09:53:49,2018-02-02 09:53:51,"2,265s",PASSED
click,Firefox 58.0,,2018-02-02 09:53:51,2018-02-02 09:53:54,"3,232s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-02 09:53:54,2018-02-02 09:54:26,"31,341s",FAILED
,,,,,,
Test Cases/COMPRAS/Minhas inscricoes - Sem Resultado,Firefox 58.0,,2018-02-02 09:54:26,2018-02-02 09:55:35,"1m - 8,823s",FAILED
openBrowser,Firefox 58.0,,2018-02-02 09:54:26,2018-02-02 09:54:36,"9,746s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-02 09:54:36,2018-02-02 09:54:42,"6,314s",PASSED
click,Firefox 58.0,,2018-02-02 09:54:42,2018-02-02 09:54:46,"3,735s",PASSED
setText,Firefox 58.0,,2018-02-02 09:54:46,2018-02-02 09:54:50,"4,140s",PASSED
setText,Firefox 58.0,,2018-02-02 09:54:50,2018-02-02 09:54:54,"4,093s",PASSED
click,Firefox 58.0,,2018-02-02 09:54:54,2018-02-02 09:54:58,"4,236s",PASSED
click,Firefox 58.0,,2018-02-02 09:54:58,2018-02-02 09:55:00,"2,278s",PASSED
click,Firefox 58.0,,2018-02-02 09:55:00,2018-02-02 09:55:03,"2,770s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-02 09:55:03,2018-02-02 09:55:35,"31,328s",FAILED
